path1,path2,path3,gt_path,x-coordinate,y-coordinate,status,visibility
dataset/images/game4/Clip6/0052.jpg,dataset/images/game4/Clip6/0051.jpg,dataset/images/game4/Clip6/0050.jpg,dataset/gaussian_heatmap/game4/Clip6/0052.jpg,713.0,186.0,0.0,1
dataset/images/game10/Clip4/0029.jpg,dataset/images/game10/Clip4/0028.jpg,dataset/images/game10/Clip4/0027.jpg,dataset/gaussian_heatmap/game10/Clip4/0029.jpg,436.0,290.0,0.0,1
dataset/images/game3/Clip7/0154.jpg,dataset/images/game3/Clip7/0153.jpg,dataset/images/game3/Clip7/0152.jpg,dataset/gaussian_heatmap/game3/Clip7/0154.jpg,,,,0
dataset/images/game4/Clip6/0147.jpg,dataset/images/game4/Clip6/0146.jpg,dataset/images/game4/Clip6/0145.jpg,dataset/gaussian_heatmap/game4/Clip6/0147.jpg,609.0,130.0,0.0,1
dataset/images/game7/Clip5/0031.jpg,dataset/images/game7/Clip5/0030.jpg,dataset/images/game7/Clip5/0029.jpg,dataset/gaussian_heatmap/game7/Clip5/0031.jpg,686.0,249.0,0.0,1
dataset/images/game7/Clip9/0043.jpg,dataset/images/game7/Clip9/0042.jpg,dataset/images/game7/Clip9/0041.jpg,dataset/gaussian_heatmap/game7/Clip9/0043.jpg,227.0,265.0,0.0,1
dataset/images/game7/Clip6/0055.jpg,dataset/images/game7/Clip6/0054.jpg,dataset/images/game7/Clip6/0053.jpg,dataset/gaussian_heatmap/game7/Clip6/0055.jpg,638.0,118.0,0.0,1
dataset/images/game7/Clip4/0809.jpg,dataset/images/game7/Clip4/0808.jpg,dataset/images/game7/Clip4/0807.jpg,dataset/gaussian_heatmap/game7/Clip4/0809.jpg,587.0,50.0,0.0,1
dataset/images/game8/Clip1/0030.jpg,dataset/images/game8/Clip1/0029.jpg,dataset/images/game8/Clip1/0028.jpg,dataset/gaussian_heatmap/game8/Clip1/0030.jpg,854.0,310.0,0.0,2
dataset/images/game7/Clip9/0022.jpg,dataset/images/game7/Clip9/0021.jpg,dataset/images/game7/Clip9/0020.jpg,dataset/gaussian_heatmap/game7/Clip9/0022.jpg,,,,0
dataset/images/game10/Clip12/0151.jpg,dataset/images/game10/Clip12/0150.jpg,dataset/images/game10/Clip12/0149.jpg,dataset/gaussian_heatmap/game10/Clip12/0151.jpg,746.0,193.0,0.0,1
dataset/images/game2/Clip8/0059.jpg,dataset/images/game2/Clip8/0058.jpg,dataset/images/game2/Clip8/0057.jpg,dataset/gaussian_heatmap/game2/Clip8/0059.jpg,715.0,160.0,0.0,1
